,MAE,MSE,RMSE,R2,set,modelo
0,415.4109589041096,351558.7397260274,592.9238903316575,0.26823240117706315,test,Decision Tree I
1,0.0,0.0,0.0,1.0,train,Decision Tree I
0,356.4205176607429,243531.6025725049,493.4892122149226,0.4930902978237348,test,Decision tree II
1,392.04094783114476,284554.43120313267,533.4364359538375,0.39159566355909114,train,Decision tree II
0,390.2183528318485,306634.98020619684,553.7463139436658,0.361740961537543,test,Decision tree III
1,340.35420569320354,236141.66243778056,485.9440939426886,0.49510675045875263,train,Decision tree III
0,340.43407976802155,240982.18703556657,490.89936548702786,0.4983968923556219,test,Decision tree IV
1,312.996419907102,203598.88230061214,451.2193283765802,0.5646862979343723,train,Decision tree IV
0,299.76263711546676,181044.96833786773,425.4937935362486,0.623155886089417,test,Random Forest I
1,265.16595154372845,142024.14970901373,376.86091560284376,0.6963389106367024,train,Random Forest I
